Country;Building Name;Cost Center;Grid;Month;Year;Account Number;Amount FX;Avg kW;KWH;SAP Number
BRASIL;ACADEMIA BRASILEIRA DE LETRAS;J639LT1;DATACENTER;01;2021;61210005;7,04;0,00;0,00;189185
BRASIL;ACADEMIA BRASILEIRA DE LETRAS;J639LT1;DATACENTER;02;2021;61210005;7,04;0,00;0,00;189185
BRASIL;ACADEMIA BRASILEIRA DE LETRAS;J639LT1;DATACENTER;03;2021;61210005;5,28;0,00;0,00;189185
BRASIL;ACADEMIA BRASILEIRA DE LETRAS;J639LT1;DATACENTER;04;2021;61210005;6,80;0,00;0,00;189185
BRASIL;ALEGRETE;J639LT1;SHELTER;10;2020;61210005;783,69;0,00;12.474,00;189054
BRASIL;ALEGRETE;J639LT1;SHELTER;11;2020;61210005;888,41;0,00;17.381,00;189054
BRASIL;ALEGRETE;J639LT1;SHELTER;12;2020;61210005;859,94;0,00;4.412,00;189054
BRASIL;ALEGRETE;J639LT1;SHELTER;01;2021;61210005;982,27;0,00;5.263,00;189054
BRASIL;ALEGRETE;J639LT1;SHELTER;04;2021;61210005;784,27;0,00;4.238,00;189054
BRASIL;ALTA - AMERICA LATINA TELECOM AVANC;J639LT1;DATACENTER;01;2021;61210005;5.596,17;0,00;0,00;189271
BRASIL;ALTA - AMERICA LATINA TELECOM AVANC;J639LT1;DATACENTER;02;2021;61210005;5.596,17;0,00;0,00;189271
BRASIL;ALTA - AMERICA LATINA TELECOM AVANC;J639LT1;DATACENTER;03;2021;61210005;5.596,17;0,00;0,00;189271
BRASIL;ALTA - AMERICA LATINA TELECOM AVANC;J639LT1;DATACENTER;04;2021;61210005;5.596,17;0,00;0,00;189271
PANAMA;Ambush Range Cable Landing;K631LT1;CABLE STATION;01;2021;61210005;0,00;0,00;26.784,68;156841
PANAMA;Ambush Range Cable Landing;K631LT1;CABLE STATION;02;2021;61210005;0,00;0,00;23.557,61;156841
PANAMA;Ambush Range Cable Landing;K631LT1;CABLE STATION;03;2021;61210005;0,00;0,00;26.354,41;156841
BRASIL;ANCHIETA;J639LT1;SHELTER;10;2020;61210005;84,74;0,00;51.866,00;185934
BRASIL;ANCHIETA;J639LT1;SHELTER;11;2020;61210005;92,57;0,00;52.552,00;185934
BRASIL;ANCHIETA;J639LT1;SHELTER;12;2020;61210005;99,65;0,00;719,00;185934
BRASIL;ANCHIETA;J639LT1;SHELTER;01;2021;61210005;98,18;0,00;672,00;185934
BRASIL;ANCHIETA;J639LT1;SHELTER;02;2021;61210005;86,43;0,00;623,00;185934
BRASIL;ANCHIETA;J639LT1;SHELTER;03;2021;61210005;97,43;0,00;391.989,00;185934
BRASIL;ANCHIETA;J639LT1;SHELTER;04;2021;61210005;99,22;0,00;715,00;185934
BRASIL;ANEL VIÁRIO;J639LT1;SHELTER;10;2020;61210005;55,48;0,00;12.895,00;187744
BRASIL;ANEL VIÁRIO;J639LT1;SHELTER;12;2020;61210005;185,76;0,00;7.280,00;187744
BRASIL;ANEL VIÁRIO;J639LT1;SHELTER;01;2021;61210005;93,35;0,00;6.068,00;187744
BRASIL;ANEL VIÁRIO;J639LT1;SHELTER;02;2021;61210005;1.072,99;0,00;6.360,00;187744
BRASIL;ANEL VIÁRIO;J639LT1;SHELTER;03;2021;61210005;57,28;0,00;6.280,00;187744
BRASIL;ANEL VIÁRIO;J639LT1;SHELTER;04;2021;61210005;59,11;0,00;7.160,00;187744
BRASIL;ARGENTINA;J639LT1;NODO;10;2020;61210005;4,89;0,00;30,00;186586
