CLLI;País;CNPJ;Razão Social;Tipo;SubTipo;Modalidade;CON/DEV;Filial;Endereço;Cidade;Estado;Depto.;C. Contábil;Fornecedor;SAP;CNPJ Fornecedor;Conta/UC;Medidor;Taxa USD;Fator;Pagamento;Grupo;ICMS;PIS/PASEP;COFINS;Dia da Leitura;Disponível;Nota Fiscal;Mês;Ano;Vencimento;Enviada;  Valor Local  ;Bandeira;Dias Medidos;    Leitura Anterior    ;    Leitura Atual    ;      KWH      ;Per. Inicial Consulta;Per. Final Consulta; Contratado Demanda HTF  (KW) ; Contrado Demanda HTP  (KW) ; Consumido Demanda HFP ($) ; Consumido Demanda HTP ($) ; Quantidade Demanda HFP (KW) ; Quantidade Demanda HP (KW) ; Outros Encargos ($) ; Quantidade encargos KWH ; Multas/Penalidades $ ; Impostos $ ; Descontos $ ;Media Kw;Valor USD;USD/Kw;USD/Kwh;Projeção de Imposto;USD s/ Imposto;USD/Kw S/ Imp.
BETMBZAC;BRASIL;72.843.212/0012-02;CENTURYLINK COMUNICACOES DO BRASIL LTDA.;SHELTER;SHELTER;CONVENCIONAL;CONSUMO;BETIM;FAZ RT FOLHA 35-22-23;BETIM;MG;J639LT1;61210005;CEMIG;187744;06.981.180/0001-16;7005418819 / 3005687580;BAG172002126;5,27;;;B3 - COMERCIAL;25%;1%;3%;1;23;55836384;3;2021;03/04/2021;; 168,95 ;Amarela;30; 152,000 ; 197,000 ; 1.800,000 ;09/02/2021;11/03/2021;;;;;;;;;;;;;;;;0;;
BETMBZAC;BRASIL;72.843.212/0012-02;CENTURYLINK COMUNICACOES DO BRASIL LTDA.;SHELTER;SHELTER;CONVENCIONAL;CONSUMO;BETIM;FAZ RT FOLHA 35-22-23;BETIM;MG;J639LT1;61210005;CEMIG;187744;06.981.180/0001-16;7005418819 / 3005687580;BAG172002126;5,27;;;B3 - COMERCIAL;25%;1%;3%;1;23;54390731;2;2021;10/02/2021;03/03/2021; 170,47 ;Amarela;28; 111,000 ; 152,000 ; 1.640,000 ;12/01/2021;09/02/2021;;;;;;;;;;;;;;;;0;;
BETMBZAC;BRASIL;72.843.212/0012-02;CENTURYLINK COMUNICACOES DO BRASIL LTDA.;SHELTER;SHELTER;CONVENCIONAL;CONSUMO;BETIM;FAZ RT FOLHA 35-22-23;BETIM;MG;J639LT1;61210005;CEMIG;187744;06.981.180/0001-16;7005418819 / 3005687580;BAG172002126;5,27;;;B3 - COMERCIAL;25%;1%;3%;1;23;52979408;1;2021;13/01/2021;; 387,06 ;VERMELHA/ AMARELA;33; 61,000 ; 111,000 ; 336,000 ;10/12/2020;12/01/2021;;;;;;;;;;;;;;;;0;;
BETMBZAC;BRASIL;72.843.212/0012-02;CENTURYLINK COMUNICACOES DO BRASIL LTDA.;SHELTER;SHELTER;CONVENCIONAL;CONSUMO;BETIM;FAZ RT FOLHA 35-22-23;BETIM;MG;J639LT1;61210005;CEMIG;187744;06.981.180/0001-16;7005418819 / 3005687580;BAG172002126;5,27;;;B3 - COMERCIAL;25%;1%;3%;1;23;49355631;10;2020;06/11/2020;; 162,25 ;;30; 1.880,000 ; 827,000 ; 827,000 ;01/09/2020;30/09/2020;;;;;;;;;;;;;;;;0;;
BLHRBZAO;BRASIL;72.843.212/0012-02;CENTURYLINK COMUNICACOES DO BRASIL LTDA.;NODO;NODO;CONVENCIONAL;CONSUMO;BH 2;AV BRASIL 1438 SA 601  FUNCIONARIOS 30140-003 BELO HORIZONTE, MG;BELO HORIZONTE;MG;J639LT1;61210005;CEMIG;187744;06.981.180/0001-16;7005418819 / 3005692167;BAB091001304;5,27;;;B3 - COMERCIAL;25%;1%;3%;5;23;55428093;3;2021;25/03/2021;; 863,73 ;Amarela;30; 65.619,000 ; 65.621,000 ; 100,000 ;03/02/2021;05/03/2021;;;;;;;;;;;;;;;;0;;
BLHRBZAO;BRASIL;72.843.212/0012-02;CENTURYLINK COMUNICACOES DO BRASIL LTDA.;NODO;NODO;CONVENCIONAL;CONSUMO;BH 2;AV BRASIL 1438 SA 601  FUNCIONARIOS 30140-003 BELO HORIZONTE, MG;BELO HORIZONTE;MG;J639LT1;61210005;CEMIG;187744;06.981.180/0001-16;7005418819 / 3005692167;BAB091001304;5,27;;;B3 - COMERCIAL;25%;1%;3%;5;23;54463542;2;2021;11/02/2021;25/02/2021; 1.548,46 ;Amarela;28; 63.814,000 ; 64.969,000 ; 46.200,000 ;06/01/2021;03/02/2021;;;;;;;;;;;;;;;;0;;
BLHRBZAO;BRASIL;72.843.212/0012-02;CENTURYLINK COMUNICACOES DO BRASIL LTDA.;NODO;NODO;CONVENCIONAL;CONSUMO;BH 2;AV BRASIL 1438 SA 601  FUNCIONARIOS 30140-003 BELO HORIZONTE, MG;BELO HORIZONTE;MG;J639LT1;61210005;CEMIG;187744;06.981.180/0001-16;7005418819 / 3005692167;BAB091001304;5,27;;;B3 - COMERCIAL;25%;1%;3%;5;23;52801203;1;2021;08/01/2021;; 131,81 ;VERMELHA/ AMARELA;33; 63.812,000 ; 63.814,000 ; 63.814,000 ;04/12/2020;06/01/2021;;;;;;;;;;;;;;;;0;;
BLHRBZAO;BRASIL;72.843.212/0012-02;CENTURYLINK COMUNICACOES DO BRASIL LTDA.;NODO;NODO;CONVENCIONAL;CONSUMO;BH 2;AV BRASIL 1438 SA 601  FUNCIONARIOS 30140-003 BELO HORIZONTE, MG;BELO HORIZONTE;MG;J639LT1;61210005;CEMIG;187744;06.981.180/0001-16;7005418819 / 3005692167;BAB091001304;5,27;;;B3 - COMERCIAL;25%;1%;3%;5;23;51729560;12;2020;14/12/2020;28/12/2021; 1.463,01 ;VERMELHA;29; 61.873,000 ; 47.760,000 ; 47.760,000 ;05/11/2020;04/12/2020;;;;;;;;;;;;;;;;0;;
BLHRBZAO;BRASIL;72.843.212/0012-02;CENTURYLINK COMUNICACOES DO BRASIL LTDA.;NODO;NODO;CONVENCIONAL;CONSUMO;BH 2;AV BRASIL 1438 SA 601  FUNCIONARIOS 30140-003 BELO HORIZONTE, MG;BELO HORIZONTE;MG;J639LT1;61210005;CEMIG;187744;06.981.180/0001-16;7005418819 / 3005692167;BAB091001304;5,27;;;B3 - COMERCIAL;25%;1%;3%;5;23;49355632;10;2020;06/11/2020;; 1.450,32 ;;30; 51.640,000 ; 60.676,000 ; 60.676,000 ;01/09/2020;30/09/2020;;;;;;;;;;;;;;;;0;;
BLHRBZBZ;BRASIL;72.843.212/0012-02;CENTURYLINK COMUNICACOES DO BRASIL LTDA.;NODO;NODO;CONVENCIONAL;CONSUMO;LOURDES;FAZ RT FOLHA 35-22-23 99999 FZ NR 03 PETROVALE 32536-000 BETIM, MG;BETIM;MG;J639LT1;61210005;CEMIG;187744;06.981.180/0001-16;7005418819 / 3000176900;BAC111000717;5,27;;;B3 - COMERCIAL;25%;1%;3%;1;22;55505840;3;2021;22/03/2021;; 20.958,44 ;Amarela;30; 1.722,000 ; 2.470,000 ; 29.920,000 ;01/02/2021;03/03/2021;;;;;;;;;;;;;;;;0;;
