MONTH;;Jan/2021;Feb/2021;Mar/2021;Apr/2021;May/2021;Jun/2021
GATEWAY COTIA
Real;4.083,597;3.964,960;0,000;0,000;0,000;0,000
Budget Original;3.789,925;3.875,000;3.895,000;3.792,900;4.012,629;4.203,461
Gateway Santiago
Real;1.629,633;1.664,714;1.677,269;0,000;0,000;0,000
Budget Original;7.644,000;4.322,000;0,000;0,000;0,000;0,000
Nuevo DC TLP Santiago
Real;697,913;712,705;713,107;0,000;0,000;0,000
Budget Original;23.456,000;23.456,000;24.643,000;0,000;0,000;0,000
TELEPORTO CURITIBA
Real;0,000;0,000;0,000;0,000;0,000;0,000
Budget Original;422,129;430,000;437,857;430,000;430,000;430,000
TELEPORTO RIO DE JANEIRO
Real;0,000;0,000;0,000;0,000;0,000;0,000
Budget Original;2.023,000;2.044,000;2.060,237;2.113,000;2.125,000;2.147,000







