 
P - USD/Kw
MONTH;Jan/2020;Feb/2020;Mar/2020;Apr/2020;May/2020;Jun/2020;Jul/2020;Aug/2020;Sep/2020;Oct/2020;Nov/2020;Dec/2020;Jan/2021;Feb/2021;Mar/2021;Apr/2021;May/2021;Jun/2021;Jul/2021;Aug/2021;Sep/2021;Oct/2021;Nov/2021;Dec/2021
GATEWAY COTIA
Real;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;51.878,321;48.579,535;50,412;56,639;55,941;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Budget Original;0,000;0,000;0,000;0,000;66,089;67,228;68,948;70,712;70,712;70,712;0,000;0,000;75,000;75,000;75,000;75,000;75,000;75,000;75,000;75,000;75,000;75,000;75,000;63,530
Gateway Santiago
Real;0,000;0,000;0,000;0,000;66,089;67,228;68,948;70,712;70,712;70,712;0,000;0,000;70,344;60,703;68,054;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Budget Original;0,000;0,000;0,000;0,000;66,089;67,228;68,948;70,712;70,712;70,712;0,000;0,000;54,000;32,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Nuevo DC TLP Santiago
Real;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;82,318;72,620;59,440;71,716;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Budget Original;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;78,000;87,000;83,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
TELEPORTO CURITIBA
Real;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Budget Original;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;128,000;128,000;128,000;128,000;128,000;128,000;128,000;128,000;128,000;128,000;128,000;128,000
TELEPORTO RIO DE JANEIRO
Real;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Budget Original;0,000;0,000;0,000;0,000;124,781;118,540;121,572;121,572;121,572;121,572;0,000;0,000;115,000;115,000;115,000;115,000;115,000;115,000;115,000;115,000;115,000;115,000;115,000;115,000
 
Q - AVG/Kw
MONTH;Jan/2020;Feb/2020;Mar/2020;Apr/2020;May/2020;Jun/2020;Jul/2020;Aug/2020;Sep/2020;Oct/2020;Nov/2020;Dec/2020;Jan/2021;Feb/2021;Mar/2021;Apr/2021;May/2021;Jun/2021;Jul/2021;Aug/2021;Sep/2021;Oct/2021;Nov/2021;Dec/2021
GATEWAY COTIA
Real;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;3,867;3,847;3.877,589;4.083,597;3.964,960;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Budget Original;0,000;0,000;0,000;0,000;3.668,681;3.637,075;3.700,000;3.727,925;3.729,925;3.754,925;0,000;0,000;3.789,925;3.875,000;3.895,000;3.792,900;4.012,629;4.203,461;4.224,478;4.245,600;4.266,828;4.309,603;4.309,603;4.331,151
Gateway Santiago
Real;0,000;0,000;0,000;0,000;3.668,681;3.637,075;3.700,000;3.727,925;3.729,925;3.754,925;0,000;0,000;1.629,633;1.664,714;1.677,269;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Budget Original;0,000;0,000;0,000;0,000;3.668,681;3.637,075;3.700,000;3.727,925;3.729,925;3.754,925;0,000;0,000;7.644,000;4.322,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Nuevo DC TLP Santiago
Real;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;752,508;697,913;712,705;713,107;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Budget Original;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;23.456,000;23.456,000;24.643,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
TELEPORTO CURITIBA
Real;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Budget Original;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;422,129;430,000;437,857;430,000;430,000;430,000;430,000;430,000;430,000;430,000;430,000;430,000
TELEPORTO RIO DE JANEIRO
Real;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Budget Original;0,000;0,000;0,000;0,000;1.869,753;1.932,078;1.951,000;1.928,516;1.936,516;1.942,516;0,000;0,000;2.023,000;2.044,000;2.060,237;2.113,000;2.125,000;2.147,000;2.159,000;2.169,000;2.188,000;2.225,000;2.258,000;2.295,000
 
MONTH;Jan/2020;Feb/2020;Mar/2020;Apr/2020;May/2020;Jun/2020;Jul/2020;Aug/2020;Sep/2020;Oct/2020;Nov/2020;Dec/2020;Jan/2021;Feb/2021;Mar/2021;Apr/2021;May/2021;Jun/2021;Jul/2021;Aug/2021;Sep/2021;Oct/2021;Nov/2021;Dec/2021










TOTAL;0,000;0,000;0,000;0,000;475.769,108;473.541,804;492.294,572;498.062,580;499.176,580;702.283,235;186.863,880;257.421,477;3.209.873,417;3.124.920,578;2.795.752,605;582.502,500;600.362,175;617.204,575;620.160,850;622.895,000;626.672,100;634.135,225;637.930,225;594.123,023
